pump,time,diesel_price
BP express,2022-03-06T13:43:05.316655,1.759
BP express,2022-03-06T15:23:37.016123,1.759
BP express,2022-03-06T17:02:04.729158,1.759
BP express,2022-03-07T10:00:02.731644,1.759
BP express,2022-03-07T15:00:02.095127,1.834
BP express,2022-03-08T10:00:02.804307,1.834
BP express,2022-03-08T15:00:01.929640,1.859
BP express,2022-03-09T10:00:03.865382,1.859
BP express,2022-03-09T15:00:01.900128,2.129
BP express,2022-03-09T20:20:27.754095,1.999
BP express,2022-03-10T10:00:02.159879,1.959
BP express,2022-03-10T15:00:02.146444,2.129
BP express,2022-03-10T20:00:02.028446,2.129
BP express,2022-03-11T10:00:01.770935,(Nicht unter den Günstigsten)
BP express,2022-03-11T15:00:02.319907,2.019
BP express,2022-03-11T20:00:02.124423,1.999
BP express,2022-03-12T11:57:59.405190,1.999
BP express,2022-03-12T15:00:03.775524,1.999
BP express,2022-03-12T20:00:02.432665,1.999
BP express,2022-03-13T11:58:36.730969,1.999
BP express,2022-03-13T15:00:01.805850,1.999
BP express,2022-03-13T21:52:36.169843,1.999
BP express,2022-03-14T10:00:01.954416,1.999
BP express,2022-03-14T15:00:02.675502,1.999
BP express,2022-03-14T20:00:02.576013,1.999
BP express,2022-03-15T10:00:02.543670,1.999
BP express,2022-03-15T15:00:03.244096,1.999
BP express,2022-03-16T10:00:02.297493,1.994
BP express,2022-03-16T15:00:02.408004,1.994
BP express,2022-03-16T20:00:02.493886,1.989
BP express,2022-03-17T10:00:02.231799,1.984
BP express,2022-03-17T15:00:02.727435,1.959
BP express,2022-03-17T20:00:02.507862,1.954
BP express,2022-03-18T10:00:03.379206,1.889
BP express,2022-03-18T15:00:01.897055,1.874
BP express,2022-03-18T20:00:01.806405,1.864
BP express,2022-03-19T15:00:01.839673,1.864
BP express,2022-03-21T10:00:01.934959,(Nicht unter den Günstigsten)
BP express,2022-03-21T15:00:02.556880,1.839
BP express,2022-03-21T20:00:02.711575,1.839
BP express,2022-03-22T10:00:02.083374,1.839
BP express,2022-03-22T15:00:01.835543,1.854
BP express,2022-03-22T20:00:01.822014,1.854
BP express,2022-03-23T10:00:02.730527,1.854
BP express,2022-03-23T15:00:02.707669,1.864
BP express,2022-03-24T10:00:03.964749,1.864
BP express,2022-03-24T15:00:02.164426,1.889
BP express,2022-03-24T20:00:02.476594,1.889
BP express,2022-03-28T10:00:02.133501,1.929
BP express,2022-03-28T15:00:02.476757,1.934
BP express,2022-03-28T20:00:02.553276,1.934
BP express,2022-03-29T10:00:03.193159,1.934
BP express,2022-03-29T15:00:01.986261,1.939
BP express,2022-03-30T10:00:02.299113,1.919
BP express,2022-03-30T15:00:03.247479,1.939
BP express,2022-03-30T20:00:02.202124,1.924
BP express,2022-03-31T10:00:02.606402,1.899
BP express,2022-03-31T15:00:03.628530,1.919
BP express,2022-03-31T20:00:01.997314,1.899
BP express,2022-04-01T10:00:02.045744,1.894
BP express,2022-04-01T15:00:02.382281,1.899
BP express,2022-04-01T20:00:02.704565,1.894
BP express,2022-04-04T10:00:01.955353,1.849
BP express,2022-04-04T15:00:02.255367,1.899
BP express,2022-04-04T20:00:03.268699,1.889
BP express,2022-04-05T10:00:02.539095,1.864
BP express,2022-04-05T15:00:03.177247,1.889
BP express,2022-04-06T10:00:03.317802,1.889
BP express,2022-04-06T15:00:03.456893,1.869
BP express,2022-04-06T20:00:03.326223,1.864
BP express,2022-04-07T10:00:02.527092,1.859
BP express,2022-04-07T15:00:02.658490,1.889
BP express,2022-04-08T10:00:01.838338,1.854
BP express,2022-04-08T15:00:02.449507,1.854
BP express,2022-04-08T20:00:02.553512,1.854
BP express,2022-04-11T10:00:32.717978,(Nicht unter den Günstigsten)
BP express,2022-04-11T15:00:02.759693,1.854
BP express,2022-04-11T20:00:02.965912,(Nicht unter den Günstigsten)
BP express,2022-04-12T10:00:02.693304,(Nicht unter den Günstigsten)
BP express,2022-04-12T15:00:02.733782,1.824
BP express,2022-04-12T20:00:03.665737,1.814
BP express,2022-04-13T10:00:02.500085,1.774
BP express,2022-04-13T15:00:02.855913,1.819
BP express,2022-04-14T10:00:02.561968,1.779
BP express,2022-04-14T15:00:02.597610,1.829
BP express,2022-04-14T20:00:02.373466,1.829
BP express,2022-04-15T10:00:02.609338,1.799
BP express,2022-04-15T15:00:02.830992,1.839
BP express,2022-04-15T20:00:01.736531,1.839
BP express,2022-04-16T20:47:15.336959,1.839
BP express,2022-04-19T10:00:01.909751,1.839
BP express,2022-04-19T15:00:01.899025,1.839
BP express,2022-04-19T20:00:02.848462,1.839
BP express,2022-04-20T10:00:01.660180,1.839
BP express,2022-04-20T15:00:02.476124,1.869
BP express,2022-04-20T20:00:02.495946,1.869
BP express,2022-04-21T10:00:02.372471,1.869
BP express,2022-04-21T15:00:02.554836,1.874
BP express,2022-04-21T20:00:02.494761,1.849
BP express,2022-04-22T10:00:02.209828,1.849
BP express,2022-04-22T15:00:02.184387,1.869
BP express,2022-04-22T20:00:10.306695,1.869
BP express,2022-04-23T10:00:03.525590,1.869
BP express,2022-04-23T15:00:02.713983,1.869
BP express,2022-04-23T20:00:02.602994,1.869
BP express,2022-04-24T10:00:01.928397,1.869
BP express,2022-04-24T15:00:02.462031,1.869
BP express,2022-04-24T20:00:04.615585,1.869
BP express,2022-04-25T10:00:02.029556,1.869
BP express,2022-04-25T15:00:01.952823,1.854
BP express,2022-04-25T20:00:02.726928,1.854
BP express,2022-04-26T10:00:01.829579,1.854
BP express,2022-04-26T15:00:03.165174,1.849
BP express,2022-04-26T20:00:02.468610,1.849
BP express,2022-04-27T10:00:03.370515,1.849
BP express,2022-04-27T15:00:02.298367,1.859
BP express,2022-04-27T20:00:02.265717,1.859
BP express,2022-04-28T10:00:02.114898,1.859
BP express,2022-04-28T15:00:02.343261,1.869
BP express,2022-04-29T10:00:02.514822,1.869
BP express,2022-04-29T15:00:02.745724,1.869
BP express,2022-04-29T20:00:03.254577,1.869
BP express,2022-05-02T10:00:01.726853,1.869
BP express,2022-05-02T15:00:02.876414,1.919
BP express,2022-05-02T20:00:02.806842,1.919
BP express,2022-05-03T10:00:02.342990,1.919
BP express,2022-05-03T15:00:02.219313,1.939
BP express,2022-05-03T20:00:02.370440,1.899
BP express,2022-05-04T10:00:02.863178,1.899
BP express,2022-05-04T15:00:01.946517,1.949
BP express,2022-05-04T20:00:02.548577,1.914
BP express,2022-05-05T10:00:02.990943,1.914
BP express,2022-05-05T15:00:02.674825,1.939
BP express,2022-05-06T10:00:02.933538,1.899
BP express,2022-05-06T15:00:02.118986,1.924
BP express,2022-05-06T20:00:02.229978,1.924
BP express,2022-05-09T10:00:02.426748,1.879
BP express,2022-05-09T15:00:03.213200,1.899
BP express,2022-05-09T20:00:02.325639,1.869
BP express,2022-05-10T10:00:03.291267,1.859
BP express,2022-05-10T15:00:01.791545,1.909
BP express,2022-05-10T20:00:01.729117,1.889
BP express,2022-05-11T10:00:01.696867,1.889
BP express,2022-05-11T15:00:02.737010,1.899
BP express,2022-05-11T20:00:02.572457,1.869
BP express,2022-05-12T10:00:02.463504,1.869
BP express,2022-05-12T15:00:02.633615,1.899
BP express,2022-05-17T10:00:01.875964,1.849
BP express,2022-05-17T15:00:02.181250,1.889
BP express,2022-05-17T20:00:04.122113,1.869
BP express,2022-05-18T10:00:03.318212,1.839
BP express,2022-05-18T15:00:03.355655,1.889
BP express,2022-05-19T10:00:03.168245,1.829
BP express,2022-05-19T15:00:01.858545,1.879
BP express,2022-05-19T20:00:01.984547,1.849
BP express,2022-05-20T10:00:02.721163,1.824
BP express,2022-05-20T15:00:03.172079,1.859
BP express,2022-05-28T15:00:01.907725,(Nicht unter den Günstigsten)
BP express,2022-05-28T20:55:19.242406,(Nicht unter den Günstigsten)
BP express,2022-05-31T15:00:02.510384,1.849
BP express,2022-05-31T20:00:02.851472,1.849
BP express,2022-06-01T10:00:03.173436,1.824
BP express,2022-06-01T15:00:03.489435,1.889
BP express,2022-06-02T15:00:01.984406,1.899
BP express,2022-06-03T15:00:02.678959,1.899
BP express,2022-06-07T10:00:02.736364,1.899
BP express,2022-06-07T15:00:02.494106,1.949
BP express,2022-06-08T10:00:02.138062,1.939
BP express,2022-06-08T15:00:02.871272,2.004
BP express,2022-06-09T10:00:02.698067,1.979
BP express,2022-06-09T15:00:02.040162,2.029
